"County","Year","Income","Rent"
"Donegal","2007Q4",1525.14,436.35135
"Donegal","2008Q1",1225.14,392.05977
"Donegal","2008Q2",1483.27,424.7836656
"Donegal","2008Q3",1472.66,405.232968
"Donegal","2008Q4",1463.17,391.5244704
"Donegal","2009Q1",1447.54,382.9571088
"Donegal","2009Q2",1439.73,378.9844128
"Donegal","2009Q3",1401.21,485.1506688
"Donegal","2009Q4",1386.69,484.9421472
"Donegal","2010Q1",1373.85,506.2398873
"Donegal","2010Q2",1372.18,496.1056926
"Donegal","2010Q3",1349.29,482.147778
"Donegal","2010Q4",1334.78,562.002559
"Donegal","2011Q1",1318.59,559.5020096
"Donegal","2011Q2",1331.98,386.8565526
"Donegal","2011Q3",1338.13,430.5600285
"Donegal","2011Q4",1357.11,415.9947498
"Donegal","2012Q1",1372.18,406.8919281
"Donegal","2012Q2",1374.97,402.6709386
"Donegal","2012Q3",1385.02,485.1506688
"Donegal","2012Q4",1393.39,484.9421472
"Donegal","2013Q1",1397.86,476.4610704
"Donegal","2013Q2",1406.23,466.9230048
"Donegal","2013Q3",1407.91,453.786144
"Donegal","2013Q4",1412.93,498.3799414
"Donegal","2014Q1",1416.84,451.3326447
"Donegal","2014Q2",1424.1,430.5600285
"Donegal","2014Q3",1431.35,415.9947498
"Donegal","2014Q4",1436.38,406.8919281
"Donegal","2015Q1",1460.94,402.6709386
"Donegal","2015Q2",1470.43,537.1310976
"Donegal","2015Q3",1492.2,536.9002344
"Donegal","2015Q4",1505.04,527.5104708
"Donegal","2016Q1",1524.58,516.9504696
"Donegal","2016Q2",1532.4,583.0104974
"Donegal","2016Q3",1545.79,502.406088
"Donegal","2016Q4",1559.75,583.0104974
"Donegal","2017Q1",1573.15,603.0410967
"Donegal","2017Q2",1589.34,611.4676035
"Donegal","2017Q3",1597.15,608.2612308
"Donegal","2017Q4",1609.43,615.466782
"Dublin","2007Q4",3772.98,1398.30168
"Dublin","2008Q1",3731.37,1367.70396
"Dublin","2008Q2",4496.86,1353.51576
"Dublin","2008Q3",4477.57,1349.34588
"Dublin","2008Q4",4460.32,1343.34216
"Dublin","2009Q1",4431.9,1349.5944
"Dublin","2009Q2",4417.69,1360.94784
"Dublin","2009Q3",4347.65,1485.316404
"Dublin","2009Q4",4321.26,1538.131848
"Dublin","2010Q1",4297.92,1504.474356
"Dublin","2010Q2",4294.87,1488.867336
"Dublin","2010Q3",4253.26,1484.280468
"Dublin","2010Q4",4226.87,1477.676376
"Dublin","2011Q1",4197.43,1484.55384
"Dublin","2011Q2",4221.79,1497.042624
"Dublin","2011Q3",4232.96,1485.316404
"Dublin","2011Q4",5247.47,1485.316404
"Dublin","2012Q1",5274.87,1486.381116
"Dublin","2012Q2",5279.95,1491.589572
"Dublin","2012Q3",5298.22,1508.250876
"Dublin","2012Q4",5313.44,1506.078288
"Dublin","2013Q1",5321.56,1509.87672
"Dublin","2013Q2",5336.79,1524.55248
"Dublin","2013Q3",5539.83,1545.933048
"Dublin","2013Q4",5348.97,1550.796192
"Dublin","2014Q1",5356.07,1569.313548
"Dublin","2014Q2",5799.27,1611.05208
"Dublin","2014Q3",5812.46,1647.99096
"Dublin","2014Q4",5821.6,1675.62252
"Dublin","2015Q1",5866.26,1705.60632
"Dublin","2015Q2",5883.51,1738.39248
"Dublin","2015Q3",5923.1,1790.43216
"Dublin","2015Q4",5946.44,1811.63136
"Dublin","2016Q1",5981.97,1832.16264
"Dublin","2016Q2",5996.18,1866.12492
"Dublin","2016Q3",6020.54,1903.22352
"Dublin","2016Q4",6045.91,1919.50044
"Dublin","2017Q1",6070.27,1957.35408
"Dublin","2017Q2",6099.71,2018.444868
"Dublin","2017Q3",6113.92,2049.74154
"Dublin","2017Q4",6136.25,2064.42456
"Galway","2008Q1",3461,608.44
"Galway","2008Q2",3229.19,602.44
"Galway","2008Q3",3421.12,580.44
"Galway","2008Q4",3561,598.23
"Galway","2009Q1",3756,550.23
"Galway","2009Q2",3890,540.3
"Galway","2009Q3",3561.23,532.1
"Galway","2009Q4",3659.28,579.1
"Galway","2010Q1",3933,521.01
"Galway","2010Q2",3760.13,519.1
"Galway","2010Q3",3789.212,517.2
"Galway","2010Q4",3876.329,500
"Galway","2011Q1",3644,544.49
"Galway","2011Q2",3764.91,512.3
"Galway","2011Q3",3876.5,530.1
"Galway","2011Q4",3951.23,578.9
"Galway","2012Q1",3478,512.53
"Galway","2012Q2",3567.19,538.01
"Galway","2012Q3",3789.2,532.01
"Galway","2012Q4",3651.38,530.9
"Galway","2013Q1",3385.12,511.8
"Galway","2013Q2",3281.16,523.9
"Galway","2013Q3",3290.34,539.1
"Galway","2013Q4",3233.87,542.4
"Galway","2014Q1",3487.54,584.33
"Galway","2014Q2",3016.18,539.1
"Galway","2014Q3",3201.5,548.1
"Galway","2014Q4",3309.6,571.2
"Galway","2015Q1",3523.21,650.45
"Galway","2015Q2",3401,610.43
"Galway","2015Q3",3510.84,623.45
"Galway","2015Q4",3519,687.1
"Galway","2016Q1",3682.346,669.1
"Galway","2016Q2",3451.29,682.1
"Galway","2016Q3",3923.23,663.2
"Galway","2016Q4",3109.28,689.34
"Galway","2017Q1",3783.2,707.59
"Galway","2017Q2",3742.1,712.56
"Galway","2017Q3",3892.27,732.88
"Galway","2017Q4",3834.23,739.89
